,2025-07-25,2025-07-26,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
07:00,,,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,0.07,0.07,,0.07,,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
07:30,,,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,-0.5353333333333333,0.07,,0.07,,,0.07,0.07,0.07,-0.494,0.07,0.07,0.07
08:00,,,0.07,0.07,0.07,,0.07,,0.07,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,-0.575,0.07,,0.07,,,0.07,0.07,0.07,-0.6343333333333334,0.07,0.07,0.07
08:30,,,0.07,0.07,0.07,,0.07,,,-0.759,0.07,,,0.07,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
09:00,,,0.07,0.07,0.07,,0.07,,,-0.33166666666666667,0.07,,,0.07,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
09:30,,,0.07,0.07,0.07,,0.07,,,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
10:00,,,0.07,0.07,0.07,0.07,0.07,,,0.07,0.07,,,0.07,0.07,0.07,0.07,,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,0.07,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
10:30,,,0.07,0.07,,0.07,0.07,,,0.07,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
11:00,,,0.07,0.07,,0.07,0.07,,,0.07,0.07,,,0.07,0.07,0.07,,0.07,0.07,,-0.8003333333333332,,0.07,,0.07,0.07,,0.07,,-1.1926666666666668,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.06966666666666668,0.07,0.07,0.07,0.07,0.07,0.07
11:30,,,0.07,0.07,,0.07,0.07,,,0.07,0.07,0.07,,0.07,0.07,0.07,,0.07,0.07,,-0.36433333333333334,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,0.07,,0.07,,,-0.448,0.07,0.07,0.07,0.07,0.07,,0.07,,,0.06966666666666668,0.07,0.07,0.07,0.07,0.07,0.07
