,2025-05-29,2025-05-30,2025-05-31,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
05:30,-0.06933333333333333,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07066666666666667,-0.07133333333333333,-0.07,-0.07,-0.07,-0.07400000000000001,-0.07866666666666666,-0.07933333333333333,-0.078,-0.07933333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07933333333333333,-0.07433333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.078,-0.07033333333333334,-0.07033333333333334,-0.078,-0.08,-0.08166666666666668,-0.08,-0.08,-0.08,-0.08,,-0.082,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08866666666666667,-0.08933333333333332,-0.08933333333333332,-0.08600000000000001,-0.08233333333333334,-0.08033333333333334,-0.078,-0.08,,-0.08566666666666665,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.081,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08533333333333333,-0.08,-0.08,-0.07866666666666666,-0.08,-0.08033333333333334,-0.083,-0.08,-0.07166666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07966666666666668,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.07266666666666667,-0.07,-0.08,-0.07,-0.07,-0.07,-0.07,-0.073,-0.07,-0.07,-0.07033333333333334,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07766666666666668,-0.07,-0.07,-0.07
06:00,-0.06833333333333334,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07033333333333334,-0.07,-0.07,-0.07066666666666667,-0.07133333333333333,-0.07,-0.07,-0.07,-0.07400000000000001,-0.08,-0.07966666666666668,-0.08,-0.07966666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.079,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.078,-0.07200000000000001,-0.07133333333333333,-0.07933333333333333,-0.08,-0.082,-0.08,-0.08,-0.08,-0.08,,-0.08166666666666668,-0.08133333333333333,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08233333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08933333333333332,-0.09,-0.08800000000000001,-0.083,-0.08266666666666667,-0.08033333333333334,-0.07533333333333334,-0.08,,-0.084,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08133333333333333,-0.08,-0.08,-0.07633333333333334,-0.08,-0.08,-0.08233333333333334,-0.08,-0.07466666666666667,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07966666666666668,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.07066666666666667,-0.07,-0.07866666666666666,-0.07,-0.07,-0.07,-0.07,-0.07100000000000001,-0.07,-0.07,-0.07266666666666667,-0.07,-0.07,-0.07033333333333334,-0.07,-0.07,-0.07,-0.07833333333333334,-0.07,-0.07,-0.07
06:30,-0.06733333333333333,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07166666666666668,-0.073,-0.07,-0.07033333333333334,-0.07,-0.07400000000000001,-0.07966666666666668,-0.08,-0.08,-0.07966666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07733333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07733333333333334,-0.07466666666666667,-0.07266666666666667,-0.08,-0.08,-0.08333333333333333,-0.08,-0.08,-0.08,-0.08,,-0.081,-0.08133333333333333,-0.08,-0.08,-0.08,-0.08,-0.08166666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08966666666666666,-0.08966666666666666,-0.089,-0.08466666666666667,-0.08133333333333333,-0.08033333333333334,-0.07866666666666666,-0.08,,-0.08533333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.081,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.081,-0.08,-0.08,-0.08,-0.08,-0.081,-0.08233333333333334,-0.08,-0.07333333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07966666666666668,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.07133333333333333,-0.07,-0.07966666666666668,-0.07,-0.07,-0.07,-0.07,-0.075,-0.07,-0.07,-0.07600000000000001,-0.07,-0.07033333333333334,-0.07033333333333334,-0.07,-0.07,-0.07133333333333333,-0.07933333333333333,-0.07,-0.07,-0.07
07:00,-0.068,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07066666666666667,-0.07066666666666667,-0.07033333333333334,-0.07,-0.07266666666666667,-0.07600000000000001,-0.07,-0.07,-0.07133333333333333,-0.07933333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07966666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.079,-0.07533333333333334,-0.07866666666666666,-0.08,-0.08,-0.08333333333333333,-0.08,-0.08,-0.08,-0.08,,-0.084,-0.08266666666666667,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08366666666666665,-0.08,-0.08,-0.08,-0.08,-0.081,-0.09,-0.08966666666666666,-0.089,-0.089,-0.08466666666666667,-0.08,-0.07933333333333333,-0.08,,-0.08566666666666665,-0.08033333333333334,-0.082,-0.08,-0.08,-0.08,-0.08,-0.08133333333333333,-0.08466666666666667,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08366666666666665,-0.08,-0.08,-0.07966666666666668,-0.08,-0.08433333333333333,-0.08466666666666667,-0.08,-0.077,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.07533333333333334,-0.07100000000000001,-0.08,-0.07,-0.07,-0.07,-0.07,-0.07866666666666666,-0.07,-0.07,-0.077,-0.07033333333333334,-0.07,-0.07233333333333335,-0.07,-0.07,-0.07133333333333333,-0.08,-0.07033333333333334,-0.07,-0.07
07:30,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07033333333333334,-0.07,-0.07200000000000001,-0.077,-0.07,-0.07066666666666667,-0.07333333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07933333333333333,-0.078,-0.07833333333333334,-0.08,-0.08,-0.08533333333333333,-0.08,-0.08,-0.08,-0.08,,-0.08333333333333333,-0.087,-0.08266666666666667,-0.08,-0.08,-0.08033333333333334,-0.08733333333333333,-0.08,-0.08,-0.08,-0.08,-0.082,-0.09,-0.09,-0.09,-0.08800000000000001,-0.08666666666666667,-0.082,-0.07966666666666668,-0.08,,-0.08766666666666666,-0.08,-0.08433333333333333,-0.08033333333333334,-0.08,-0.08033333333333334,-0.08,-0.08166666666666668,-0.08600000000000001,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.082,-0.08,-0.08,-0.08,-0.08,-0.08666666666666667,-0.08566666666666665,-0.08,-0.07633333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.07200000000000001,-0.07133333333333333,-0.07966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07933333333333333,-0.07,-0.07,-0.07766666666666668,-0.07,-0.07133333333333333,-0.07133333333333333,-0.07,-0.07033333333333334,-0.07266666666666667,-0.07966666666666668,-0.07066666666666667,-0.07033333333333334,-0.07
08:00,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07066666666666667,-0.07033333333333334,-0.07333333333333333,-0.07633333333333334,-0.07,-0.07133333333333333,-0.07400000000000001,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07966666666666668,-0.07866666666666666,-0.07466666666666667,-0.08,-0.08333333333333333,-0.089,-0.08,-0.08,-0.08,-0.08,,-0.08833333333333333,-0.08633333333333333,-0.08133333333333333,-0.08133333333333333,-0.08,-0.081,-0.08800000000000001,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08233333333333334,-0.09,-0.09,-0.09,-0.08933333333333332,-0.08766666666666666,-0.081,-0.08,-0.08,,-0.08933333333333332,-0.081,-0.083,-0.08066666666666666,-0.08,-0.08033333333333334,-0.08,-0.084,-0.08566666666666665,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08833333333333333,-0.08,-0.08,-0.08,-0.08,-0.083,-0.08800000000000001,-0.08,-0.07666666666666667,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.07533333333333334,-0.07066666666666667,-0.07933333333333333,-0.07,-0.07,-0.07,-0.07,-0.079,-0.07,-0.07033333333333334,-0.07866666666666666,-0.07033333333333334,-0.07133333333333333,-0.07133333333333333,-0.07,-0.07033333333333334,-0.07200000000000001,-0.08,-0.07066666666666667,-0.07,-0.07
08:30,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07033333333333334,-0.07166666666666668,-0.07066666666666667,-0.075,-0.077,-0.07,-0.07100000000000001,-0.07666666666666667,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.07866666666666666,-0.079,-0.08,-0.08066666666666666,-0.089,-0.08,-0.08,-0.08,-0.08,,-0.08966666666666666,-0.087,-0.08,-0.08,-0.08,-0.08166666666666668,-0.08800000000000001,-0.08,-0.08133333333333333,-0.08166666666666668,-0.08,-0.083,-0.09,-0.09,-0.09,-0.09,-0.08800000000000001,-0.081,-0.08,-0.08,,-0.08966666666666666,-0.08266666666666667,-0.08233333333333334,-0.081,-0.08,-0.08,-0.08033333333333334,-0.08333333333333333,-0.08633333333333333,-0.08166666666666668,-0.08,-0.08,-0.08,-0.08166666666666668,-0.08,-0.08566666666666665,-0.08,-0.08,-0.08,-0.08,-0.08866666666666667,-0.08800000000000001,-0.08,-0.07600000000000001,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08033333333333334,-0.07666666666666667,-0.07200000000000001,-0.08,-0.07,-0.07,-0.07,-0.07,-0.07966666666666668,-0.07,-0.07033333333333334,-0.07966666666666668,-0.07,-0.07233333333333335,-0.073,-0.07,-0.07100000000000001,-0.075,-0.08,-0.07,-0.07066666666666667,-0.07
09:00,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07033333333333334,-0.07166666666666668,-0.07433333333333333,-0.07,-0.07733333333333334,-0.07566666666666667,-0.07033333333333334,-0.07100000000000001,-0.07466666666666667,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08,-0.07933333333333333,-0.079,-0.08,-0.08,-0.08833333333333333,-0.08,-0.08,-0.08,-0.08066666666666666,,-0.089,-0.08633333333333333,-0.08133333333333333,-0.08,-0.08,-0.08033333333333334,-0.087,-0.08,-0.08,-0.08,-0.08,-0.08433333333333333,-0.09,-0.09,-0.09,-0.09,-0.08933333333333332,-0.08233333333333334,-0.08,-0.08,,-0.09,-0.08566666666666665,-0.08533333333333333,-0.08066666666666666,-0.08,-0.081,-0.08,-0.08333333333333333,-0.08533333333333333,-0.081,-0.08,-0.08,-0.08,-0.08,-0.08,-0.082,-0.08,-0.08,-0.08,-0.08,-0.08833333333333333,-0.08866666666666667,-0.08,-0.07833333333333334,-0.08,-0.08,-0.08,-0.08,-0.08233333333333334,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,,-0.08,-0.08,-0.08066666666666666,-0.07833333333333334,-0.07166666666666668,-0.08,-0.07,-0.07,-0.07,-0.07066666666666667,-0.07833333333333334,-0.07066666666666667,-0.07033333333333334,-0.078,-0.07133333333333333,-0.07033333333333334,-0.07233333333333335,-0.07,-0.07033333333333334,-0.07600000000000001,-0.08,-0.07066666666666667,-0.07,-0.07
09:30,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07033333333333334,-0.07,-0.07,-0.07,-0.07066666666666667,-0.07866666666666666,-0.07100000000000001,-0.075,-0.07833333333333334,-0.07066666666666667,-0.073,-0.07466666666666667,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.081,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07966666666666668,-0.078,-0.07866666666666666,-0.08,-0.08033333333333334,-0.08966666666666666,-0.08033333333333334,-0.08,-0.08,-0.08333333333333333,,-0.08633333333333333,-0.08466666666666667,-0.08166666666666668,-0.08,-0.08,-0.08,-0.08866666666666667,-0.08,-0.08,-0.08,-0.08,-0.084,-0.09033333333333333,-0.09033333333333333,-0.09,-0.08966666666666666,-0.089,-0.08433333333333333,-0.08,-0.08,,-0.09,-0.084,-0.08600000000000001,-0.08233333333333334,-0.08,-0.08066666666666666,-0.08,-0.084,-0.08499999999999999,-0.081,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08033333333333334,-0.08600000000000001,-0.08,-0.08,-0.08,-0.08,-0.09,-0.089,-0.08,-0.07933333333333333,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08133333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08133333333333333,-0.07733333333333334,-0.07133333333333333,-0.08,-0.07,-0.07,-0.07,-0.07,-0.08,-0.07066666666666667,-0.07066666666666667,-0.07966666666666668,-0.07266666666666667,-0.07100000000000001,-0.07333333333333333,-0.07,-0.07033333333333334,-0.07733333333333334,-0.08,-0.07033333333333334,-0.07033333333333334,-0.07
10:00,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07033333333333334,-0.07,-0.07,-0.07200000000000001,-0.07,-0.07933333333333333,-0.07100000000000001,-0.07733333333333334,-0.079,-0.07166666666666668,-0.07166666666666668,-0.07566666666666667,-0.07999999999999999,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.081,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08,-0.079,-0.08,-0.084,-0.08866666666666667,-0.08166666666666668,-0.08,-0.08033333333333334,-0.082,,-0.08633333333333333,-0.08766666666666666,-0.08,-0.08,-0.08,-0.08133333333333333,-0.089,-0.08,-0.08066666666666666,-0.08066666666666666,-0.08,-0.08499999999999999,-0.09,-0.09,-0.09,-0.09,-0.089,-0.083,-0.08,-0.08,,-0.08966666666666666,-0.081,-0.08433333333333333,-0.08433333333333333,-0.08,-0.08066666666666666,-0.08,-0.08466666666666667,-0.08600000000000001,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,-0.087,-0.08,-0.08,-0.08,-0.08,-0.09,-0.08633333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.078,-0.07333333333333333,-0.08,-0.07033333333333334,-0.07033333333333334,-0.07,-0.07066666666666667,-0.079,-0.07066666666666667,-0.07033333333333334,-0.08,-0.073,-0.07033333333333334,-0.07733333333333334,-0.07,-0.07033333333333334,-0.07666666666666667,-0.08,-0.07,-0.07100000000000001,-0.07
10:30,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07133333333333333,-0.07066666666666667,-0.07,-0.07166666666666668,-0.07266666666666667,-0.08,-0.07433333333333333,-0.07866666666666666,-0.07866666666666666,-0.07066666666666667,-0.07100000000000001,-0.07733333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.081,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.079,-0.08,-0.07933333333333333,-0.08,-0.08600000000000001,-0.08933333333333332,-0.08233333333333334,-0.08,-0.08,-0.081,,-0.083,-0.08266666666666667,-0.08033333333333334,-0.08,-0.08,-0.081,-0.08666666666666667,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08499999999999999,-0.09,-0.09033333333333333,-0.09,-0.08966666666666666,-0.09,-0.08466666666666667,-0.08,-0.08,,-0.09,-0.082,-0.08600000000000001,-0.082,-0.08,-0.083,-0.08033333333333334,-0.08733333333333333,-0.08166666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08166666666666668,-0.08,-0.08,-0.08,-0.08,-0.089,-0.083,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08133333333333333,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08033333333333334,-0.08,-0.07733333333333334,-0.07733333333333334,-0.08,-0.07,-0.07,-0.07,-0.07033333333333334,-0.079,-0.07233333333333335,-0.07100000000000001,-0.08,-0.07533333333333334,-0.07133333333333333,-0.07600000000000001,-0.07033333333333334,-0.07066666666666667,-0.07766666666666668,-0.08,-0.07100000000000001,-0.073,-0.07
11:00,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07333333333333333,-0.07033333333333334,-0.07,-0.07233333333333335,-0.075,-0.07933333333333333,-0.07533333333333334,-0.079,-0.079,-0.07100000000000001,-0.07266666666666667,-0.079,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07766666666666668,-0.08,-0.08,-0.08,-0.08966666666666666,-0.08733333333333333,-0.08633333333333333,-0.08,-0.08,-0.08,,-0.08366666666666665,-0.08066666666666666,-0.08033333333333334,-0.08,-0.08,-0.08033333333333334,-0.08333333333333333,-0.08,-0.08066666666666666,-0.08,-0.08,-0.089,-0.09,-0.09066666666666666,-0.08966666666666666,-0.08966666666666666,-0.08866666666666667,-0.08466666666666667,-0.08,-0.08,,-0.09,-0.081,-0.08433333333333333,-0.08499999999999999,-0.08,-0.08266666666666667,-0.08066666666666666,-0.08766666666666666,-0.08133333333333333,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.084,-0.08,-0.08,-0.08,-0.08,-0.08966666666666666,-0.08466666666666667,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.081,-0.07833333333333334,-0.07666666666666667,-0.08,-0.07,-0.07033333333333334,-0.07,-0.07100000000000001,-0.08,-0.07100000000000001,-0.07033333333333334,-0.08,-0.07566666666666667,-0.07066666666666667,-0.07833333333333334,-0.07133333333333333,-0.07100000000000001,-0.07933333333333333,-0.08,-0.07233333333333335,-0.07600000000000001,-0.07
11:30,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07266666666666667,-0.07,-0.07,-0.07466666666666667,-0.078,-0.079,-0.07766666666666668,-0.07966666666666668,-0.07966666666666668,-0.07400000000000001,-0.07166666666666668,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.077,-0.079,-0.08,-0.08,-0.08733333333333333,-0.08766666666666666,-0.08499999999999999,-0.08,-0.08,-0.08,,-0.08133333333333333,-0.08166666666666668,-0.08,-0.08,-0.08,-0.082,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08833333333333333,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08266666666666667,-0.08,-0.08,,-0.09,-0.08,-0.08333333333333333,-0.08933333333333332,-0.08,-0.08133333333333333,-0.08233333333333334,-0.08966666666666666,-0.08133333333333333,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08533333333333333,-0.08,-0.08,-0.08,-0.08,-0.09,-0.08366666666666665,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08,-0.075,-0.07866666666666666,-0.08,-0.07,-0.07133333333333333,-0.07,-0.07133333333333333,-0.07933333333333333,-0.07166666666666668,-0.07066666666666667,-0.08,-0.075,-0.07100000000000001,-0.07933333333333333,-0.07133333333333333,-0.07566666666666667,-0.07566666666666667,-0.08,-0.07266666666666667,-0.07766666666666668,
12:00,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07533333333333334,-0.07100000000000001,-0.07,-0.07533333333333334,-0.07933333333333333,-0.07966666666666668,-0.078,-0.07866666666666666,-0.08,-0.073,-0.07100000000000001,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.081,-0.081,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.07433333333333333,-0.08,-0.07933333333333333,-0.08,-0.08766666666666666,-0.08533333333333333,-0.08333333333333333,-0.08,-0.08,-0.08,,-0.08266666666666667,-0.082,-0.08,-0.08,-0.08,-0.08733333333333333,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08800000000000001,-0.09,-0.09,-0.09,-0.09,-0.08966666666666666,-0.08033333333333334,-0.08,-0.08,,-0.09,-0.081,-0.08499999999999999,-0.08933333333333332,-0.08,-0.082,-0.08133333333333333,-0.08966666666666666,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.083,-0.08,-0.08966666666666666,-0.08,-0.08,-0.08,-0.08,-0.089,-0.08366666666666665,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.08066666666666666,-0.07633333333333334,-0.07966666666666668,-0.08,-0.07,-0.07033333333333334,-0.07100000000000001,-0.07133333333333333,-0.07766666666666668,-0.07233333333333335,-0.07100000000000001,-0.08,-0.07633333333333334,-0.07066666666666667,-0.07533333333333334,-0.073,-0.07400000000000001,-0.07833333333333334,-0.08,-0.073,-0.07866666666666666,
12:30,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07566666666666667,-0.07,-0.07,-0.073,-0.07833333333333334,-0.07966666666666668,-0.07933333333333333,-0.07966666666666668,-0.07966666666666668,-0.07266666666666667,-0.073,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08233333333333334,-0.084,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.079,-0.07966666666666668,-0.07933333333333333,-0.08,-0.089,-0.08466666666666667,-0.082,-0.08,-0.08,-0.08,,-0.08133333333333333,-0.08133333333333333,-0.08,-0.08,-0.08,-0.087,-0.08033333333333334,-0.08,-0.08,-0.08,-0.08066666666666666,-0.087,-0.09,-0.09066666666666666,-0.09,-0.09,-0.09,-0.08,-0.08,-0.08033333333333334,,-0.09,-0.08133333333333333,-0.08933333333333332,-0.09,-0.08,-0.08333333333333333,-0.08033333333333334,-0.09,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08233333333333334,-0.081,-0.08933333333333332,-0.08,-0.08,-0.08,-0.08,-0.089,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08066666666666666,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,-0.08,-0.08,-0.081,-0.077,-0.07966666666666668,-0.08,-0.07,-0.07,-0.07,-0.073,-0.079,-0.07033333333333334,-0.07133333333333333,-0.08,-0.07366666666666667,-0.07266666666666667,-0.07966666666666668,-0.07333333333333333,-0.07733333333333334,-0.07933333333333333,-0.08,-0.07200000000000001,-0.07833333333333334,
